epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.71,1.14098,2.48725,1.55483,0.72972,0.54106,0.64393,0.28938,1.92616,3.54199,3.31723,0.000651515,0.000651515,0.000651515
2,61.2325,1.21021,1.08298,1.60823,0.29926,0.31401,0.15415,0.03294,3.23963,2.77413,5.7749,0.00129643,0.00129643,0.00129643
3,78.7965,1.24215,0.96456,1.61219,0.52755,0.35749,0.33553,0.14235,2.72389,2.40958,4.66053,0.00191935,0.00191935,0.00191935
4,97.3998,1.21968,0.94415,1.6137,0.11547,0.49758,0.08843,0.03951,2.14651,5.86975,4.65173,0.001901,0.001901,0.001901
5,115.561,1.12636,0.85243,1.5333,0.78237,0.69565,0.78752,0.41026,1.4647,1.96382,2.64566,0.001868,0.001868,0.001868
6,133.406,1.11462,0.81974,1.52236,0.76107,0.75402,0.81482,0.4907,1.45899,1.37205,2.33374,0.001835,0.001835,0.001835
7,151.393,1.07617,0.75069,1.48161,0.82652,0.85161,0.88965,0.5653,1.16996,1.06709,2.11099,0.001802,0.001802,0.001802
8,170.263,1.03592,0.71199,1.4597,0.89972,0.91026,0.93948,0.61167,1.10399,0.78623,2.04566,0.001769,0.001769,0.001769
9,187.896,1.01455,0.69697,1.4472,0.91389,0.87156,0.9345,0.59409,1.21345,0.7806,2.30308,0.001736,0.001736,0.001736
10,205.572,1.0494,0.69556,1.46026,0.80689,0.81159,0.8363,0.39288,1.893,1.0931,2.84464,0.001703,0.001703,0.001703
11,222.998,0.99664,0.67607,1.42786,0.81097,0.82609,0.88769,0.56134,1.09666,0.87552,1.9823,0.00167,0.00167,0.00167
12,241.516,0.97268,0.67687,1.42037,0.89955,0.90338,0.94288,0.6319,1.08334,0.80496,1.89014,0.001637,0.001637,0.001637
13,259.671,0.93744,0.60586,1.39513,0.97446,0.92178,0.94791,0.65481,1.03106,0.60578,1.88521,0.001604,0.001604,0.001604
14,277.025,0.93391,0.61958,1.37643,0.9265,0.90338,0.95261,0.65397,1.06192,0.7288,1.90553,0.001571,0.001571,0.001571
15,294.425,0.90679,0.61958,1.37485,0.95046,0.90338,0.94977,0.70248,0.90307,0.58424,1.62021,0.001538,0.001538,0.001538
