epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8793,0.80491,1.55374,1.44876,0.85666,0.82673,0.86919,0.40204,1.78929,1.14702,3.83553,0.000659091,0.000659091,0.000659091
2,92.1402,0.95787,0.76201,1.52591,0.52661,0.74895,0.57272,0.23916,1.81578,2.42521,3.11276,0.00130388,0.00130388,0.00130388
3,124.381,0.93478,0.73046,1.52035,0.79173,0.82806,0.86513,0.53831,1.26941,1.41052,2.33588,0.00192667,0.00192667,0.00192667
4,156.585,0.9328,0.69424,1.5152,0.45766,0.59406,0.43799,0.16503,2.47997,2.55047,4.01974,0.001901,0.001901,0.001901
5,189.507,0.91411,0.65596,1.49546,0.81501,0.67613,0.78326,0.5596,0.96672,1.27901,1.85126,0.001868,0.001868,0.001868
6,221.98,0.78933,0.58951,1.40921,0.74595,0.77723,0.78445,0.43873,1.52939,1.209,2.55642,0.001835,0.001835,0.001835
7,253.869,0.8027,0.57605,1.41218,0.88824,0.90498,0.91483,0.62142,1.20015,0.84186,2.80754,0.001802,0.001802,0.001802
8,286.118,0.76604,0.53943,1.39134,0.90741,0.87327,0.95962,0.74066,0.79269,0.60801,1.66518,0.001769,0.001769,0.001769
9,319.528,0.74057,0.51593,1.36485,0.9646,0.97525,0.97545,0.71139,0.94204,0.67458,1.80936,0.001736,0.001736,0.001736
10,351.744,0.72321,0.51066,1.3446,0.92761,0.93564,0.97474,0.73872,0.96964,0.71513,1.9327,0.001703,0.001703,0.001703
11,383.813,0.70583,0.49751,1.33539,0.96572,0.97634,0.99325,0.8274,0.72732,0.44323,1.54101,0.00167,0.00167,0.00167
12,416.923,0.69609,0.50084,1.328,0.98669,0.9703,0.99311,0.78089,0.78801,0.44597,1.63842,0.001637,0.001637,0.001637
13,449.666,0.66243,0.46357,1.30326,0.97036,0.9724,0.98779,0.8109,0.7148,0.43127,1.51633,0.001604,0.001604,0.001604
14,482.215,0.64639,0.46011,1.2948,0.95516,0.96535,0.99019,0.80159,0.7107,0.48215,1.48351,0.001571,0.001571,0.001571
15,514.537,0.64018,0.4402,1.28178,0.96537,0.96604,0.99281,0.85763,0.64908,0.39988,1.42976,0.001538,0.001538,0.001538
16,548.024,0.60694,0.42683,1.25609,0.97547,0.98515,0.993,0.85364,0.68754,0.41391,1.43405,0.001505,0.001505,0.001505
17,580.491,0.60522,0.42769,1.26294,0.995,0.98486,0.99495,0.84479,0.66244,0.36941,1.45071,0.001472,0.001472,0.001472
18,612.326,0.60744,0.41122,1.25834,0.99514,0.97525,0.99461,0.87042,0.57538,0.38383,1.3303,0.001439,0.001439,0.001439
19,645.804,0.62225,0.43843,1.27839,0.98232,0.97525,0.99272,0.84949,0.64866,0.40293,1.42133,0.001406,0.001406,0.001406
20,678.155,0.58427,0.4049,1.2386,0.97118,0.9802,0.99406,0.87064,0.65186,0.44155,1.43466,0.001373,0.001373,0.001373
21,710.351,0.56132,0.38991,1.22288,0.99014,0.99452,0.9949,0.89355,0.57756,0.32294,1.29906,0.00134,0.00134,0.00134
22,744.036,0.56176,0.38895,1.23547,0.97747,0.9802,0.99323,0.86616,0.60638,0.39527,1.35076,0.001307,0.001307,0.001307
23,775.98,0.59604,0.40549,1.2446,0.96172,0.9949,0.99393,0.88996,0.5612,0.3318,1.30407,0.001274,0.001274,0.001274
24,808.456,0.56559,0.37271,1.23226,0.98496,0.97266,0.99331,0.89551,0.54537,0.32562,1.31714,0.001241,0.001241,0.001241
25,842.276,0.53632,0.36707,1.20846,0.99019,0.99893,0.995,0.89743,0.5192,0.30963,1.26397,0.001208,0.001208,0.001208
26,874.4,0.56011,0.37975,1.22343,0.97533,0.97867,0.99206,0.91296,0.49578,0.31999,1.23789,0.001175,0.001175,0.001175
27,906.488,0.52941,0.36603,1.19916,0.99172,0.9901,0.99495,0.92418,0.44524,0.28488,1.19324,0.001142,0.001142,0.001142
28,939.365,0.52961,0.36074,1.19675,0.97975,0.95826,0.99125,0.89846,0.48051,0.35068,1.20895,0.001109,0.001109,0.001109
29,971.757,0.52074,0.35861,1.18982,0.99845,0.9802,0.99485,0.91191,0.51131,0.29868,1.21576,0.001076,0.001076,0.001076
30,1003.49,0.51999,0.3558,1.20177,0.99499,0.98237,0.99443,0.90555,0.49585,0.30724,1.1951,0.001043,0.001043,0.001043
31,1035.26,0.5263,0.36155,1.19465,0.99787,0.9901,0.995,0.92349,0.44241,0.26659,1.16315,0.00101,0.00101,0.00101
32,1068.52,0.50337,0.35047,1.17652,0.97414,0.98515,0.98958,0.90239,0.51011,0.32715,1.21019,0.000977,0.000977,0.000977
