epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,295.642,0.95814,0.54263,1.31116,0.98404,0.9802,0.99131,0.75057,0.92125,0.46959,1.41456,0.001538,0.001538,0.001538
16,313.099,0.95088,0.52935,1.30001,0.93491,0.96535,0.98753,0.74289,0.88197,0.46417,1.38998,0.001505,0.001505,0.001505
17,331.395,0.92288,0.52222,1.26788,0.9714,0.9703,0.99067,0.76301,0.84415,0.4643,1.35153,0.001472,0.001472,0.001472
18,349.284,0.95165,0.51627,1.29414,0.97063,0.98515,0.98774,0.78495,0.80121,0.43243,1.33153,0.001439,0.001439,0.001439
19,366.689,0.90088,0.50137,1.25642,0.9965,0.9802,0.99006,0.75839,0.82952,0.50781,1.33455,0.001406,0.001406,0.001406
20,384.147,0.93905,0.51827,1.29528,0.98946,0.9802,0.99433,0.78922,0.80948,0.45212,1.33688,0.001373,0.001373,0.001373
21,402.354,0.87667,0.49143,1.2466,0.97557,0.98853,0.99411,0.77683,0.82879,0.45069,1.34377,0.00134,0.00134,0.00134
22,420.065,0.90155,0.49943,1.26502,0.98966,0.94758,0.99233,0.77307,0.83061,0.45657,1.35205,0.001307,0.001307,0.001307
23,437.759,0.88263,0.47979,1.26503,0.98992,0.97233,0.99436,0.76583,0.83974,0.42045,1.31871,0.001274,0.001274,0.001274
24,455.212,0.90169,0.48034,1.26497,0.9888,0.9802,0.99405,0.80218,0.77859,0.42366,1.27532,0.001241,0.001241,0.001241
25,473.782,0.88682,0.4701,1.24705,0.99497,0.98011,0.99451,0.79183,0.77171,0.39566,1.27088,0.001208,0.001208,0.001208
26,490.802,0.8745,0.468,1.25115,0.99013,0.99303,0.99465,0.79478,0.78035,0.39631,1.28768,0.001175,0.001175,0.001175
27,508.382,0.87153,0.44489,1.25025,0.98472,0.95686,0.99278,0.78274,0.82882,0.39812,1.31813,0.001142,0.001142,0.001142
28,525.761,0.91419,0.47247,1.25215,0.98587,0.9802,0.99417,0.75026,0.90219,0.40348,1.33944,0.001109,0.001109,0.001109
29,544.598,0.88203,0.46382,1.24958,0.9771,0.98515,0.9942,0.78466,0.79443,0.39344,1.28436,0.001076,0.001076,0.001076
30,562.241,0.84622,0.4529,1.22881,0.995,0.98499,0.9949,0.81093,0.75266,0.39453,1.25658,0.001043,0.001043,0.001043
31,579.432,0.8355,0.44865,1.2157,0.9852,0.98845,0.9947,0.8063,0.75324,0.36608,1.24359,0.00101,0.00101,0.00101
32,596.841,0.83869,0.44418,1.2326,0.99298,0.9802,0.9942,0.80227,0.75957,0.39648,1.25208,0.000977,0.000977,0.000977
33,615.506,0.83301,0.4608,1.22739,0.98036,0.98844,0.99415,0.81509,0.73439,0.36017,1.23498,0.000944,0.000944,0.000944
34,633.484,0.80083,0.41747,1.20319,0.99304,0.98515,0.9947,0.79533,0.79268,0.38094,1.25721,0.000911,0.000911,0.000911
35,650.706,0.81347,0.43172,1.21325,0.99348,0.9901,0.9942,0.81313,0.73732,0.35138,1.22797,0.000878,0.000878,0.000878
36,668.031,0.85384,0.44119,1.22804,0.98283,0.98515,0.99347,0.7993,0.76945,0.36551,1.24986,0.000845,0.000845,0.000845
37,686.995,0.78092,0.40279,1.18888,0.993,0.9802,0.99435,0.80754,0.76769,0.37427,1.24039,0.000812,0.000812,0.000812
38,704.557,0.80037,0.4256,1.2114,0.9901,0.9898,0.9946,0.82833,0.74272,0.35148,1.23162,0.000779,0.000779,0.000779
39,722.46,0.81228,0.42748,1.21198,0.99402,0.9802,0.99451,0.81746,0.71858,0.34059,1.21433,0.000746,0.000746,0.000746
40,740.179,0.80313,0.41422,1.21194,0.99009,0.98965,0.99475,0.81596,0.72054,0.34501,1.21387,0.000713,0.000713,0.000713
41,758.434,0.83391,0.42352,1.21058,0.99005,0.98502,0.9946,0.81862,0.78239,0.34959,1.26922,0.00068,0.00068,0.00068
42,776.016,0.80743,0.40586,1.20123,0.99004,0.98414,0.9941,0.81276,0.76768,0.35483,1.24515,0.000647,0.000647,0.000647
43,793.306,0.79057,0.40339,1.20287,0.99502,0.98955,0.99455,0.8049,0.71977,0.35106,1.21583,0.000614,0.000614,0.000614
44,811.513,0.77492,0.37993,1.18596,0.98877,0.99505,0.99465,0.81637,0.7505,0.34162,1.23603,0.000581,0.000581,0.000581
45,829.183,0.78805,0.39854,1.19206,0.9913,0.99505,0.99416,0.7983,0.82993,0.34963,1.27488,0.000548,0.000548,0.000548
46,846.456,0.80681,0.40108,1.21199,0.98477,0.99505,0.9945,0.81682,0.71244,0.3381,1.21212,0.000515,0.000515,0.000515
47,864.056,0.78272,0.39301,1.18739,0.99123,0.9901,0.9944,0.80964,0.73348,0.36399,1.21307,0.000482,0.000482,0.000482
48,882.192,0.75626,0.38732,1.17859,0.99504,0.99403,0.9945,0.82973,0.71196,0.34307,1.2104,0.000449,0.000449,0.000449
49,900.169,0.76679,0.38453,1.19101,0.99368,0.99505,0.9946,0.82675,0.71216,0.31211,1.21355,0.000416,0.000416,0.000416
50,917.401,0.7655,0.37375,1.17522,0.99248,0.99505,0.9946,0.83151,0.66903,0.30874,1.17541,0.000383,0.000383,0.000383
51,936.268,0.63916,0.31363,1.1979,0.99505,0.99418,0.9946,0.8455,0.6431,0.30057,1.15984,0.00035,0.00035,0.00035
52,954.146,0.62495,0.31279,1.18521,0.99505,0.99492,0.99495,0.84189,0.65817,0.31294,1.17065,0.000317,0.000317,0.000317
53,970.631,0.61354,0.3019,1.16405,0.99479,0.99505,0.99495,0.84955,0.65939,0.30311,1.1667,0.000284,0.000284,0.000284
54,987.249,0.61707,0.29038,1.16038,0.98966,0.9901,0.99475,0.84517,0.6701,0.29792,1.16794,0.000251,0.000251,0.000251
55,1003.88,0.60429,0.28603,1.16535,0.99455,0.99505,0.99465,0.84926,0.65911,0.28662,1.15462,0.000218,0.000218,0.000218
56,1020.92,0.60282,0.28099,1.16466,0.99433,0.99505,0.9947,0.85202,0.63743,0.27862,1.13885,0.000185,0.000185,0.000185
57,1038.56,0.58875,0.27697,1.15073,0.99411,0.99505,0.99455,0.85238,0.64228,0.2772,1.15022,0.000152,0.000152,0.000152
58,1055.94,0.57901,0.26637,1.12662,0.99872,1,0.995,0.85511,0.62337,0.27331,1.12538,0.000119,0.000119,0.000119
59,1073.21,0.58084,0.26328,1.14655,0.99938,1,0.995,0.85979,0.61979,0.26525,1.12507,8.6e-05,8.6e-05,8.6e-05
60,1090.23,0.5755,0.26529,1.14495,0.99943,1,0.995,0.857,0.6236,0.26854,1.12831,5.3e-05,5.3e-05,5.3e-05
