epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.65,1.15168,2.41059,1.47702,7e-05,0.0099,2e-05,0,5.73089,98.9485,8.12148,0.000651515,0.000651515,0.000651515
2,62.5346,1.20742,0.93199,1.50286,0.00118,0.23762,0.00084,0.00015,4.44961,inf,55.3731,0.00129643,0.00129643,0.00129643
3,80.5831,1.19319,0.80294,1.4723,0.15483,0.08416,0.03789,0.01231,2.82283,4.82207,10.4557,0.00191935,0.00191935,0.00191935
4,98.5193,1.21268,0.82135,1.48894,0.2243,0.34158,0.14225,0.04799,2.43422,7.01533,3.3708,0.001901,0.001901,0.001901
5,116.395,1.13484,0.7202,1.43256,0.00017,0.0495,9e-05,5e-05,4.23888,inf,4.64787,0.001868,0.001868,0.001868
6,134.785,1.12224,0.68697,1.43558,0.06862,0.26238,0.02915,0.00868,3.60868,11.6698,3.76349,0.001835,0.001835,0.001835
7,152.474,1.10736,0.68995,1.40297,0.95673,0.92574,0.97757,0.66451,1.12595,0.67757,1.78404,0.001802,0.001802,0.001802
8,170.186,1.08444,0.66363,1.40082,0.98475,0.9589,0.99171,0.72028,1.0267,0.591,1.56305,0.001769,0.001769,0.001769
9,187.804,1.04321,0.61187,1.37928,0.98263,0.96535,0.99117,0.73396,0.96111,0.70282,1.50018,0.001736,0.001736,0.001736
10,206.827,1.02024,0.59061,1.33191,0.91894,0.90099,0.94254,0.5386,1.29833,0.74421,1.91661,0.001703,0.001703,0.001703
11,224.182,1.0113,0.59073,1.34817,0.96952,0.94491,0.98846,0.71976,0.93928,0.54321,1.45629,0.00167,0.00167,0.00167
12,241.776,0.99295,0.56879,1.34603,0.97959,0.95025,0.98253,0.71607,0.93664,0.59261,1.45322,0.001637,0.001637,0.001637
13,259.499,0.96125,0.55975,1.32592,0.99402,0.99505,0.9949,0.72436,0.9582,0.47719,1.48685,0.001604,0.001604,0.001604
14,277.963,0.95698,0.54015,1.30535,0.97981,0.96095,0.99081,0.76636,0.87471,0.44204,1.37849,0.001571,0.001571,0.001571
