epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.706,1.41177,2.75541,1.63327,0.32466,0.36053,0.25281,0.1058,1.85899,3.46637,2.58271,0.000651515,0.000651515,0.000651515
2,63.3014,1.56422,1.60748,1.7252,0.04465,0.02895,0.00569,0.00159,4.05474,4.97578,8.1979,0.00129643,0.00129643,0.00129643
3,81.2089,1.59594,1.56697,1.7479,0.01669,0.10263,0.00561,0.0017,4.14781,132.412,22.2482,0.00191935,0.00191935,0.00191935
4,99.8804,1.62948,1.60615,1.76728,0.02462,0.08421,0.00701,0.0017,3.94285,13.2111,4.98005,0.001901,0.001901,0.001901
5,117.623,1.54405,1.45549,1.711,0.38405,0.38421,0.32102,0.1411,1.88598,3.5515,2.49802,0.001868,0.001868,0.001868
6,135.34,1.5595,1.44426,1.69978,0.31809,0.35263,0.26036,0.08488,2.44427,4.65045,3.59019,0.001835,0.001835,0.001835
7,153.317,1.52365,1.40209,1.64374,0.67553,0.39447,0.46563,0.27824,1.57692,1.60936,2.0504,0.001802,0.001802,0.001802
8,171.878,1.47769,1.35678,1.63584,0.60656,0.51579,0.55677,0.33522,1.39455,1.73726,1.83806,0.001769,0.001769,0.001769
9,189.918,1.44176,1.32225,1.61454,0.67881,0.48421,0.5678,0.33658,1.50504,1.24486,1.93671,0.001736,0.001736,0.001736
10,209.818,1.38068,1.18166,1.56473,0.70302,0.47895,0.59427,0.34257,1.43845,1.30135,1.80513,0.001703,0.001703,0.001703
11,228.07,1.41491,1.21096,1.57776,0.7688,0.4988,0.60985,0.36248,1.42272,1.37025,1.80284,0.00167,0.00167,0.00167
12,245.937,1.37537,1.2272,1.57701,0.73733,0.58684,0.68988,0.41481,1.32547,1.04557,1.73219,0.001637,0.001637,0.001637
13,263.628,1.33432,1.14285,1.52845,0.67015,0.56053,0.62717,0.36995,1.40336,1.15565,1.76978,0.001604,0.001604,0.001604
14,282.662,1.34181,1.17106,1.52391,0.78548,0.53684,0.67382,0.42353,1.27329,1.01567,1.64759,0.001571,0.001571,0.001571
15,300.534,1.31938,1.1255,1.51731,0.61765,0.64737,0.6462,0.37912,1.3826,1.09807,1.78029,0.001538,0.001538,0.001538
16,318.25,1.29255,1.06178,1.47086,0.70013,0.68201,0.75726,0.47065,1.17444,0.84276,1.53899,0.001505,0.001505,0.001505
17,336.553,1.25799,1.03886,1.45453,0.68184,0.65,0.72206,0.45022,1.20321,0.91431,1.59508,0.001472,0.001472,0.001472
18,355.09,1.26757,1.05513,1.47647,0.7744,0.66579,0.75317,0.47558,1.19159,0.84195,1.57383,0.001439,0.001439,0.001439
19,374.254,1.22036,1.0011,1.43214,0.79546,0.62632,0.72841,0.45626,1.19599,0.91515,1.55552,0.001406,0.001406,0.001406
20,392.277,1.24236,1.01453,1.46597,0.69702,0.69621,0.76669,0.48376,1.15283,0.82979,1.54528,0.001373,0.001373,0.001373
21,410.733,1.21152,1.00264,1.42778,0.78854,0.68158,0.7707,0.48019,1.16136,0.83256,1.53699,0.00134,0.00134,0.00134
22,427.713,1.17143,0.95311,1.40205,0.73401,0.71579,0.79067,0.50336,1.12125,0.75079,1.49222,0.001307,0.001307,0.001307
23,445.121,1.19872,0.93316,1.40881,0.80537,0.69737,0.79275,0.51978,1.0988,0.73196,1.463,0.001274,0.001274,0.001274
24,462.693,1.20258,0.95784,1.42989,0.79005,0.68158,0.7722,0.49598,1.18665,0.79371,1.57108,0.001241,0.001241,0.001241
25,481.084,1.17271,0.96484,1.40549,0.77343,0.66579,0.76927,0.47497,1.22317,0.86677,1.58507,0.001208,0.001208,0.001208
